,Is Automatically Applied:,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
Item Name,Total Tags,15,67,57,28,30,5,22,67,16,12,50,31,3,33,31,5,36,23,13,10,8,5,5,4,3,0,12,4,8
,,Buyable,Scrap,Non-Interactable,Interactable,Conductive,Chargable,Tool,One-Handed,Two-Handed,Noisy,Light-Weight,Medium-Weight,Heavy-Weight,Low-Value,Medium-Value,High-Value,Household,Metal,Harmful,Weapon,Consumable,Machine Part,Luminescent,Transportation,Communicative,Information,Natural,BeastByproduct,BodyPart
Airhorn,8,,Scrap,,Interactable,,,,One-Handed,,Noisy,Light-Weight,,,,Medium-Value,,Household,Metal,,,,,,,,,,,
Apparatus,9,,Scrap,Non-Interactable,,Conductive,,,,Two-Handed,,Light-Weight,,,,,High-Value,,Metal,,,,Machine Part,Luminescent,,,,,,
Baby Kiwi Egg,7,,Scrap,Non-Interactable,,,,,,Two-Handed,,,Medium-Weight,,,,High-Value,,,,,,,,,,,Natural,Beast Byproduct,
Bell,8,,Scrap,Non-Interactable,,Conductive,,,One-Handed,,Noisy,,Medium-Weight,,,Medium-Value,,,Metal,,,,,,,,,,,
Belt Bag,5,Buyable,,,Interactable,,,Tool,One-Handed,,,Light-Weight,,,,,,,,,,,,,,,,,,
Big Bolt,8,,Scrap,Non-Interactable,,Conductive,,,One-Handed,,,,Medium-Weight,,Low-Value,,,,Metal,,,,Machine Part,,,,,,,
Boombox,6,Buyable,,,Interactable,,,Tool,One-Handed,,Noisy,,Medium-Weight,,,,,,,,,,,,,,,,,
Bottles,5,,Scrap,Non-Interactable,,,,,,Two-Handed,,,Medium-Weight,,,Medium-Value,,,,,,,,,,,,,,
Brush,6,,Scrap,Non-Interactable,,,,,One-Handed,,,Light-Weight,,,Low-Value,,,Household,,,,,,,,,,,,
Candy,6,,Scrap,Non-Interactable,,,,,One-Handed,,,Light-Weight,,,Low-Value,,,Household,,,,,,,,,,,,
